priref,lref,path,width,height,megapixels,soort,is_color,sitter_count,sitter_ids,date,objectcat,artist_name
4130,9217781,D:\thesis\images\9217781.jpg,500,438,0.219,black and white photograph,False,1,206917,1674,painting,"Koninck, Philips"
4132,10723129,D:\thesis\images\10723129.jpg,452,501,0.226,black and white photograph,False,1,111309,1656,painting,"Koninck, Philips"
4150,9217133,D:\thesis\images\9217133.jpg,500,438,0.219,color reproduction,True,1,115722,1617,painting,"Hals, Frans (I)"
4334,10668206,D:\thesis\images\10668206.jpg,2401,3000,7.203,digital image,True,1,115676,1639,painting,"Ravesteyn, Jan van"
4358,9217902,D:\thesis\images\9217902.jpg,500,438,0.219,black and white photograph,False,1,87,1684,painting,"Maes, Nicolaes"
4359,9217915,D:\thesis\images\9217915.jpg,500,438,0.219,black and white photograph,False,1,103827,1657,painting,"Maes, Nicolaes"
4360,9217903,D:\thesis\images\9217903.jpg,500,438,0.219,black and white photograph,False,1,116872,1680,painting,"Maes, Nicolaes"
4361,9217906,D:\thesis\images\9217906.jpg,500,438,0.219,black and white photograph,False,1,203470,1680,painting,"Maes, Nicolaes"
4362,9217924,D:\thesis\images\9217924.jpg,500,438,0.219,black and white photograph,False,1,201392,1649,painting,"Maes, Nicolaes"
4363,9217925,D:\thesis\images\9217925.jpg,500,438,0.219,black and white photograph,False,1,206919,1649,painting,"Maes, Nicolaes"
4364,9217938,D:\thesis\images\9217938.jpg,500,438,0.219,black and white photograph,False,1,206920,1649,painting,"Maes, Nicolaes"
4365,9217939,D:\thesis\images\9217939.jpg,500,438,0.219,black and white photograph,False,1,206921,1649,painting,"Maes, Nicolaes"
4366,9217942,D:\thesis\images\9217942.jpg,500,438,0.219,black and white photograph,False,1,206922,1649,painting,"Maes, Nicolaes"
4369,9217905,D:\thesis\images\9217905.jpg,500,438,0.219,black and white photograph,False,1,206923,1650,painting,"Maes, Nicolaes"
4370,9217907,D:\thesis\images\9217907.jpg,500,438,0.219,black and white photograph,False,1,206926,1685,painting,"Maes, Nicolaes"
4371,9217908,D:\thesis\images\9217908.jpg,500,438,0.219,black and white photograph,False,1,206927,1649,painting,"Maes, Nicolaes"
4372,9217910,D:\thesis\images\9217910.jpg,500,438,0.219,black and white photograph,False,1,137665,1672,painting,"Maes, Nicolaes"
4373,9217914,D:\thesis\images\9217914.jpg,500,438,0.219,black and white photograph,False,1,108402,1685,painting,"Maes, Nicolaes"
4374,9217919,D:\thesis\images\9217919.jpg,500,438,0.219,black and white photograph,False,1,121795,1680,painting,"Maes, Nicolaes"
4375,9217920,D:\thesis\images\9217920.jpg,500,438,0.219,black and white photograph,False,1,111180,1689,painting,"Maes, Nicolaes"
4377,9217927,D:\thesis\images\9217927.jpg,500,438,0.219,black and white photograph,False,1,116173,1673,painting,"Maes, Nicolaes"
4378,9217929,D:\thesis\images\9217929.jpg,500,438,0.219,black and white photograph,False,1,116172,1680,painting,"Maes, Nicolaes"
4381,9217952,D:\thesis\images\9217952.jpg,500,438,0.219,black and white photograph,False,1,116170,1672,painting,"Maes, Nicolaes"
4382,9217951,D:\thesis\images\9217951.jpg,500,438,0.219,black and white photograph,False,1,137666,1672,painting,"Maes, Nicolaes"
4383,10721788,D:\thesis\images\10721788.jpg,1952,2544,4.966,photograph,False,1,120820,1680,painting,"Maes, Nicolaes"
4384,10721789,D:\thesis\images\10721789.jpg,2000,2516,5.032,photograph,False,1,120911,1680,painting,"Maes, Nicolaes"
4385,9217916,D:\thesis\images\9217916.jpg,500,438,0.219,black and white photograph,False,1,114613,1650,painting,"Maes, Nicolaes"
4386,9217928,D:\thesis\images\9217928.jpg,640,560,0.358,black and white photograph,False,1,200635,1675,painting,"Maes, Nicolaes"
4387,9217911,D:\thesis\images\9217911.jpg,500,438,0.219,black and white photograph,False,1,205637,1675,painting,"Maes, Nicolaes"
4389,9217904,D:\thesis\images\9217904.jpg,500,438,0.219,black and white photograph,False,1,205638,1680,painting,"Maes, Nicolaes"
4390,9217922,D:\thesis\images\9217922.jpg,500,438,0.219,black and white photograph,False,1,205639,1680,painting,"Maes, Nicolaes"
4391,9217917,D:\thesis\images\9217917.jpg,500,438,0.219,black and white photograph,False,1,116372,1660,painting,"Maes, Nicolaes"
4402,9217918,D:\thesis\images\9217918.jpg,500,438,0.219,black and white photograph,False,1,205640,1677,painting,"Maes, Nicolaes"
4403,9217934,D:\thesis\images\9217934.jpg,500,438,0.219,black and white photograph,False,1,119713,1649,painting,"Maes, Nicolaes"
4405,9217935,D:\thesis\images\9217935.jpg,500,438,0.219,black and white photograph,False,1,109772,1672,painting,"Maes, Nicolaes"
4408,9217936,D:\thesis\images\9217936.jpg,640,560,0.358,black and white photograph,False,1,116372,1658,painting,"Maes, Nicolaes"
4410,9660223,D:\thesis\images\9660223.jpg,640,560,0.358,black and white photograph,False,1,115249,1658,painting,"Maes, Nicolaes"
4411,10463539,D:\thesis\images\10463539.jpg,3230,3752,12.119,black-and-white reproduction,False,1,115249,1665,painting,"Maes, Nicolaes"
4415,9217933,D:\thesis\images\9217933.jpg,500,438,0.219,black and white photograph,False,1,113595,1675,painting,"Maes, Nicolaes"
4416,9217937,D:\thesis\images\9217937.jpg,500,438,0.219,black and white photograph,False,1,142542,1683,painting,"Maes, Nicolaes"
4417,9217941,D:\thesis\images\9217941.jpg,500,438,0.219,black and white photograph,False,1,142543,1683,painting,"Maes, Nicolaes"
4418,9217940,D:\thesis\images\9217940.jpg,500,438,0.219,black and white photograph,False,1,205644,1672,painting,"Maes, Nicolaes"
4612,9370563,D:\thesis\images\9370563.jpg,500,438,0.219,black and white photograph,False,1,107406,1618,painting,"Breen, Adam van"
4620,10904251,D:\thesis\images\10904251.jpg,3084,3950,12.182,digital image,True,1,112571,1677,painting,"Hoogstraten, Samuel van"
4630,10904254,D:\thesis\images\10904254.jpg,3971,5041,20.018,digital image,True,1,204808,1676,painting,"Hoogstraten, Samuel van"
4779,9158540,D:\thesis\images\9158540.jpg,2235,2976,6.651,color photograph,True,1,103074,1673,painting,"Borch, Gerard ter (II)"
4904,9660526,D:\thesis\images\9660526.jpg,500,438,0.219,black and white photograph,False,1,206939,1790,portrait miniature,Anoniem
4910,9660528,D:\thesis\images\9660528.jpg,500,438,0.219,black and white photograph,False,1,206940,1790,portrait miniature,"Ritter, George Nikolaus"
4931,9660542,D:\thesis\images\9660542.jpg,500,438,0.219,black and white photograph,False,1,105059,1780,painting,"Reyers, Nicolaas"
4935,9660543,D:\thesis\images\9660543.jpg,500,438,0.219,black and white photograph,False,1,205657,1720,painting,Anoniem
4952,9660544,D:\thesis\images\9660544.jpg,500,438,0.219,black and white photograph,False,1,107198,1750,painting,Anoniem
4953,9660545,D:\thesis\images\9660545.jpg,500,438,0.219,black and white photograph,False,1,205658,1761,painting,Anoniem
4954,9660546,D:\thesis\images\9660546.jpg,500,438,0.219,black and white photograph,False,1,201337,1737,painting,Anoniem
4955,9660547,D:\thesis\images\9660547.jpg,500,438,0.219,black and white photograph,False,1,205659,1713,painting,Anoniem
4956,9660548,D:\thesis\images\9660548.jpg,500,438,0.219,black and white photograph,False,1,205660,1709,painting,Anoniem
4957,9660549,D:\thesis\images\9660549.jpg,500,438,0.219,black and white photograph,False,1,135447,1765,painting,"Velthoven, Hendrik van"
4960,9660552,D:\thesis\images\9660552.jpg,500,438,0.219,black and white photograph,False,1,121948,1750,painting,Anoniem
4961,9660553,D:\thesis\images\9660553.jpg,500,438,0.219,black and white photograph,False,1,205661,1700,painting,Anoniem
4962,9660554,D:\thesis\images\9660554.jpg,500,438,0.219,black and white photograph,False,1,205662,1708,painting,"Verkolje, Nicolaas"
4963,9660555,D:\thesis\images\9660555.jpg,500,438,0.219,black and white photograph,False,1,123404,1752,painting,Anoniem
4964,9660556,D:\thesis\images\9660556.jpg,500,438,0.219,black and white photograph,False,1,205663,1750,painting,Anoniem
4965,9660557,D:\thesis\images\9660557.jpg,500,438,0.219,black and white photograph,False,1,138697,1757,painting,Anoniem
4966,9660558,D:\thesis\images\9660558.jpg,500,438,0.219,black and white photograph,False,1,138698,1757,painting,Anoniem
4971,9660560,D:\thesis\images\9660560.jpg,500,438,0.219,black and white photograph,False,1,107459,1775,painting,Anoniem
4972,9660559,D:\thesis\images\9660559.jpg,500,438,0.219,black and white photograph,False,1,107335,1775,painting,Anoniem
4983,9660566,D:\thesis\images\9660566.jpg,500,438,0.219,black and white photograph,False,1,200258,1728,painting,"Accama, Bernardus (I)"
4996,9660570,D:\thesis\images\9660570.jpg,500,438,0.219,black and white photograph,False,1,207947,1739,painting,"Antiquus, Johannes"
4999,9660571,D:\thesis\images\9660571.jpg,500,438,0.219,black and white photograph,False,1,207948,1739,painting,"Antiquus, Johannes"
5005,9660572,D:\thesis\images\9660572.jpg,500,438,0.219,black and white photograph,False,1,140135,1736,painting,"Backhuijzen, Gerrit"
5029,9660573,D:\thesis\images\9660573.jpg,500,438,0.219,black and white photograph,False,1,121760,1785,painting,"Baur, Hendricus Johan Antonius"
5034,9660576,D:\thesis\images\9660576.jpg,500,438,0.219,black and white photograph,False,1,64,1794,painting,"Berg, Gijsbertus Johannus van den"
5037,9660577,D:\thesis\images\9660577.jpg,500,438,0.219,black and white photograph,False,1,134340,1800,painting,"Berg, Gijsbertus Johannus van den"
5038,9660488,D:\thesis\images\9660488.jpg,500,438,0.219,black and white photograph,False,1,133852,1650,painting,"Spilberg, Johann (II)"
5040,9660578,D:\thesis\images\9660578.jpg,500,438,0.219,black and white photograph,False,1,205664,1736,painting,"Bosch, Hendrik van den"
5046,9335692,D:\thesis\images\9335692.jpg,455,500,0.228,black and white photograph,False,1,134450,1777,painting,"Bruyninx, Daniël"
5052,9660497,D:\thesis\images\9660497.jpg,640,560,0.358,black and white photograph,False,1,205665,1650,painting,"Victors, Jan"
5053,9660498,D:\thesis\images\9660498.jpg,640,560,0.358,black and white photograph,False,1,205666,1650,painting,"Victors, Jan"
5070,9660589,D:\thesis\images\9660589.jpg,500,438,0.219,black and white photograph,False,1,107162,1783,painting,"Buys, Jacobus"
5096,9660602,D:\thesis\images\9660602.jpg,500,438,0.219,black and white photograph,False,1,108485,1712,painting,"Colasius, Johan George"
5098,10716624,D:\thesis\images\10716624.jpg,2900,3738,10.84,digital image,True,1,205667,1801,painting,"Cuylenburgh, Cornelis van (II)"
5099,10716623,D:\thesis\images\10716623.jpg,4966,6390,31.733,digital image,True,1,141582,1801,painting,"Cuylenburgh, Cornelis van (II)"
5100,9660608,D:\thesis\images\9660608.jpg,500,438,0.219,black and white photograph,False,1,144221,1817,painting,"Cuylenburgh, Cornelis van (II)"
5101,9660609,D:\thesis\images\9660609.jpg,500,438,0.219,black and white photograph,False,1,113842,1732,painting,"Decker, Frans"
5102,9660610,D:\thesis\images\9660610.jpg,500,438,0.219,black and white photograph,False,1,135695,1732,painting,"Decker, Frans"
5131,9660786,D:\thesis\images\9660786.jpg,500,438,0.219,black and white photograph,False,1,132879,1713,painting,"Dijk, Philip van"
5132,9660787,D:\thesis\images\9660787.jpg,500,438,0.219,black and white photograph,False,1,110940,1695,painting,"Dijk, Philip van"
5133,9660789,D:\thesis\images\9660789.jpg,500,438,0.219,black and white photograph,False,1,142131,1735,painting,"Dijk, Philip van"
5134,9660788,D:\thesis\images\9660788.jpg,500,438,0.219,black and white photograph,False,1,205295,1735,painting,"Dijk, Philip van"
5135,9660790,D:\thesis\images\9660790.jpg,500,438,0.219,black and white photograph,False,1,205671,1738,painting,"Dijk, Philip van"
5136,9660792,D:\thesis\images\9660792.jpg,500,438,0.219,black and white photograph,False,1,205672,1722,painting,"Dijk, Philip van"
5140,9660797,D:\thesis\images\9660797.jpg,500,438,0.219,black and white photograph,False,1,205674,1695,painting,"Dijk, Philip van"
5141,9660796,D:\thesis\images\9660796.jpg,500,438,0.219,black and white photograph,False,1,205675,1695,painting,"Dijk, Philip van"
5142,9660799,D:\thesis\images\9660799.jpg,500,438,0.219,black and white photograph,False,1,201259,1725,painting,"Dijk, Philip van"
5143,9660798,D:\thesis\images\9660798.jpg,500,438,0.219,black and white photograph,False,1,201264,1724,painting,"Dijk, Philip van"
5144,9660800,D:\thesis\images\9660800.jpg,500,438,0.219,black and white photograph,False,1,205671,1735,painting,"Dijk, Philip van"
5145,9660801,D:\thesis\images\9660801.jpg,500,438,0.219,black and white photograph,False,1,205680,1735,painting,"Dijk, Philip van"
5146,9660803,D:\thesis\images\9660803.jpg,500,438,0.219,black and white photograph,False,1,121577,1710,painting,"Dijk, Philip van"
5147,9660802,D:\thesis\images\9660802.jpg,500,438,0.219,black and white photograph,False,1,205681,1698,painting,"Dijk, Philip van"
5150,10742246,D:\thesis\images\10742246.jpg,1885,2244,4.23,reproduction (derivative object),False,1,115678,1631,painting,"Franchoys, Lucas (II)"
5163,9660806,D:\thesis\images\9660806.jpg,500,438,0.219,black and white photograph,False,1,205685,1744,painting,"Dijk, Philip van"
5167,9660809,D:\thesis\images\9660809.jpg,500,438,0.219,black and white photograph,False,1,205707,1754,painting,"Fargue van Nieuwland, Isaac Lodewijk la"
5169,9660808,D:\thesis\images\9660808.jpg,500,438,0.219,black and white photograph,False,1,205708,1754,painting,"Fargue van Nieuwland, Isaac Lodewijk la"
5187,9660819,D:\thesis\images\9660819.jpg,500,438,0.219,black and white photograph,False,1,133486,1750,painting,"Fournier, Jean"
5189,9660820,D:\thesis\images\9660820.jpg,500,438,0.219,black and white photograph,False,1,205709,1752,painting,"Fournier, Jean"
5191,9660821,D:\thesis\images\9660821.jpg,640,560,0.358,black and white photograph,False,1,205711,1750,painting,"Fournier, Jean"
5193,9660823,D:\thesis\images\9660823.jpg,500,438,0.219,black and white photograph,False,1,8708,1778,painting,"Franck, Christoffel Frederik"
5197,9660826,D:\thesis\images\9660826.jpg,500,438,0.219,black and white photograph,False,1,116875,1771,painting,"Haag, Tethart Philipp Christian"
5203,9660832,D:\thesis\images\9660832.jpg,500,438,0.219,black and white photograph,False,1,101297,1786,painting,"Hauck, Friedrich Ludwig"
5204,9660833,D:\thesis\images\9660833.jpg,500,438,0.219,black and white photograph,False,1,112240,1786,painting,"Hauck, Friedrich Ludwig"
5205,9660834,D:\thesis\images\9660834.jpg,500,438,0.219,black and white photograph,False,1,142122,1770,painting,"Hauck, August Christian"
5206,10634054,D:\thesis\images\10634054.jpg,2000,2431,4.862,BD/Digital Collection,False,1,141582,1770,painting,"Hauck, August Christian"
5207,9660836,D:\thesis\images\9660836.jpg,500,438,0.219,black and white photograph,False,1,208610,1807,painting,"Helant, Anthonie Joseph"
5208,9660837,D:\thesis\images\9660837.jpg,500,438,0.219,black and white photograph,False,1,115865,1815,painting,"Humbert de Superville, David Pièrre Giottino"
5215,9660840,D:\thesis\images\9660840.jpg,500,438,0.219,black and white photograph,False,1,116935,1766,painting,"Humbert, Jean"
5226,10899203,D:\thesis\images\10899203.jpg,2605,3257,8.484,BD/Digital Collection,False,1,111825,1811,painting,"Hendriks, Wybrand"
5232,9660846,D:\thesis\images\9660846.jpg,500,438,0.219,black and white photograph,False,1,142355,1786,painting,"Hendriks, Wybrand"
5233,9660847,D:\thesis\images\9660847.jpg,500,438,0.219,black and white photograph,False,1,142356,1784,painting,"Hendriks, Wybrand"
5237,9660848,D:\thesis\images\9660848.jpg,500,438,0.219,black and white photograph,False,1,201922,1801,painting,"Hendriks, Wybrand"
5240,9660849,D:\thesis\images\9660849.jpg,500,438,0.219,black and white photograph,False,1,14142,1803,painting,"Hendriks, Wybrand"
5247,9660852,D:\thesis\images\9660852.jpg,500,438,0.219,black and white photograph,False,1,9236,1807,painting,"Hendriks, Wybrand"
5248,9660854,D:\thesis\images\9660854.jpg,500,438,0.219,black and white photograph,False,1,202599,1797,painting,"Hendriks, Wybrand"
5249,9660853,D:\thesis\images\9660853.jpg,500,438,0.219,black and white photograph,False,1,202601,1797,painting,"Hendriks, Wybrand"
5263,9660861,D:\thesis\images\9660861.jpg,500,438,0.219,black and white photograph,False,1,205737,1812,painting,"Hodges, Charles Howard"
5268,9660862,D:\thesis\images\9660862.jpg,500,438,0.219,black and white photograph,False,1,102022,1808,painting,"Hodges, Charles Howard"
5269,9660863,D:\thesis\images\9660863.jpg,500,438,0.219,black and white photograph,False,1,205738,1834,painting,"Hodges, Charles Howard"
5271,9660865,D:\thesis\images\9660865.jpg,500,438,0.219,black and white photograph,False,1,108461,1801,painting,"Hodges, Charles Howard"
5273,9660866,D:\thesis\images\9660866.jpg,500,438,0.219,black and white photograph,False,1,121288,1775,painting,"Hodges, Charles Howard"
5275,9660867,D:\thesis\images\9660867.jpg,500,438,0.219,black and white photograph,False,1,15831,1800,painting,"Hodges, Charles Howard"
5277,9660868,D:\thesis\images\9660868.jpg,500,438,0.219,black and white photograph,False,1,107459,1815,painting,"Hodges, Charles Howard"
5280,9660869,D:\thesis\images\9660869.jpg,500,438,0.219,black and white photograph,False,1,205739,1821,painting,"Hodges, Charles Howard"
