priref,lref,sitter_id,sitter_zekerheid,sitter_beschrijving,sitter_status,date_datering,zoekmarge_begindatum,zoekmarge_einddatum,title_english,title_dutch,objectcat,genre,materiaal,drager,trefwoorden_en,identificatie_grond,artist_name,artist_id,soort,is_color,width,height,megapixels,path,face_crop_count,sitter_portrait_count
2947,10418142,113516,,,huidig,1661 gedateerd,1661,1661,Self portrait as the apostle Paul,Zelfportret als de apostel Paulus,painting,portrait,oil paint,canvas,man's portrait|self-portrait|historiated portrait|apostle|bust-length portrait|head to the right|body facing right|facing front|curly hair|turban|opened book|sword|saint,resemblance,Rembrandt,66219,digital file,True,10132,12013,121.716,D:\thesis\images\10418142.jpg,1,95
2949,10399644,113516,,,huidig,1669 gedateerd,1669,1669,Self portrait,Zelfportret,painting,portrait,oil paint,canvas,man's portrait|self-portrait|old man|bust-length portrait|head to the right|body facing right|facing front|beret,resemblance,Rembrandt,66219,digital file,True,7530,8268,62.258,D:\thesis\images\10399644.jpg,1,95
2961,10418106,120812,,,huidig,1639,1639,1639,Portrait of Aletta Adriaensdr,Portret van Aletta Adriaensdr,painting,portrait,,panel (oak),portrait|woman's portrait|half-length|head to the left|body facing left|facing front|black cap|large ruff|table|table carpet|old woman,"The identification is based on a comparison with a seventeenth-century copy of the painting.|(Hofstede de Groot 1907-1928, vol. 6, no. 619; Giltaij 1994, no. 15)",Rembrandt,66219,digital file,True,2898,3453,10.007,D:\thesis\images\10418106.jpg,1,3
3042,10418135,133293,,,huidig,ca. 1639,1638,1640,Portrait of a woman probably Maria Trip,"Portret van een vrouw, waarschijnlijk Maria Trip (1619-1683)",painting,portrait,oil paint,panel (poplar),portrait|woman's portrait|young woman|three-quarter length figure|head to the left|body facing left|standing (position)|facing front|flat lace collar|pearl necklace|rosette (clothing accessory)|closed fan,"based on the provenance (Van Eeghen 1956, p. 166-169)",Rembrandt,66219,digital file,True,4440,5825,25.863,D:\thesis\images\10418135.jpg,1,2
3044,10418141,115193,,,huidig,1633 gedateerd,1633,1633,Portrait of Johannes Wttenbogaert (1557-1644),Portret van Johannes Wttenbogaert (1557-1644),painting,portrait,oil paint,canvas,man's portrait|rector (pastor)|three-quarter length figure|head to the right|body facing right|standing (position)|facing front|hand in front of chest|ruff 'à la confusion'|skullcap|opened book|hat|glove/gloves in hand,,Rembrandt,66219,digital file,True,4825,6108,29.471,D:\thesis\images\10418141.jpg,1,17
3067,10418136,113947,genaamd,,huidig,1633 gedateerd,1633,1633,Young woman in fantasy costume,Borststuk van een vrouw in fantasiekostuum,painting,portrait,oil paint,panel (oak),figure|portrait|tronie|woman's portrait|young woman|bust-length portrait|head to the right|body facing right|facing front|long hair (women's hairstyle)|veil (headcloth)|low neckline|pearl necklace|pendant earring|dress (garment),resemblance,Rembrandt,66219,digital file,True,3511,4575,16.063,D:\thesis\images\10418136.jpg,1,11
3271,9135760,109603,,,huidig,1743 gedateerd,1743,1743,Portrait of the German composer Anton Wilhelm Solnitz,Portret van de duitse componist Anton Wilhelm Solnitz,painting,portrait,oil paint,panel (wood),man's portrait|bust-length portrait|head to the right|in a trompe-l'oeil-frame (oval)|musical instrument|music (discipline)|music book|bow (music)|violin|relief|putto|transverse flute|wig|common ivy,achterschrift; prent,"Mij, Hieronymus van der",56059,printouts,False,2847,3520,10.021,D:\thesis\images\9135760.jpg,1,2
3370,10724584,116186,,,huidig,,1630,1640,Portrait of Jacob van der Merckt (1599-1653),Portret van Jacob van der Merckt (1599-1653),painting,portrait,oil paint,panel (wood),man's portrait|full-length portrait|head to the right|body facing right|standing (position)|facing front|hand on side|glove/gloves in hand|short hair (men's hairstyle)|beard|suit (main garment)|mantle (outerwear)|cuff (costume component)|ruff 'à la confusion'|stocking|shoe with bow|interior view|table|table carpet|chair|column (architectural element)|hat,achterschrift|vererving,"Pot, Hendrick",64480,black and white photograph,False,5014,6610,33.143,D:\thesis\images\10724584.jpg,1,2
3371,10724585,116187,,,huidig,ca. 1630-1640,1630,1640,"Portrait of Petronella Witsen (1602-1676), wife of Jacob van der Merckt","Portret van Petronella Witsen (1602-1676), echtgenote van Jacob van der Merckt",painting,portrait,oil paint,panel (wood),woman's portrait|full-length portrait|head to the left|body facing left|standing (position)|facing front|feather fan|vlieger (clothing)|cuff (costume component)|floppy ruff|lace cap|pearl necklace|interior view|column (architectural element)|table|table carpet|glove|dog|chair,achterschrift|vererving,"Pot, Hendrick",64480,black and white photograph,False,5120,6659,34.094,D:\thesis\images\10724585.jpg,1,2
3461,9217040,108779,,,huidig,eerste helft 18de eeuw,1700,1749,"Portrait of Peter the Great (1672-1725), tsar of Russia","Portret van Peter de Grote (1672-1725), tsaar van Rusland",painting,portrait,oil paint,canvas,man's portrait|ceremonial portrait|tsar|three-quarter length figure|body facing left|head to the left|standing (position)|facing front|hand on side|moustache|cuirass|staff|crown (headdress)|Order of St. Andrew (Russia),,Anoniem,1984,black and white photograph,False,500,438,0.219,D:\thesis\images\9217040.jpg,1,8
3978,9216647,118114,,,huidig,1618 gedateerd,1618,1618,Portrait of Cornelis Bicker van Swieten (1592-1654),Portret van Cornelis Bicker van Swieten (1592-1654),painting,portrait,oil paint,canvas,man's portrait|full-length portrait|head to the right|body facing right|facing front|short hair (men's hairstyle)|moustache|beard|ruff|hand in front of chest|glove/gloves in hand|table|hat|column (architectural element)|pulled-aside curtain/drapery|checkered stone floor,geboortejaar; herkomst; kunstenaar,"Voort, Cornelis van der",81814,color reproduction,True,2598,4172,10.839,D:\thesis\images\9216647.jpg,1,6
3980,10742358,123317,,,huidig,1618 gedateerd,1618,1618,Portrait of Aertgen Witsen (1617-1652),Portret van Aertgen Witsen (1617-1652),painting,portrait,oil paint,canvas,woman's portrait|full-length portrait|head to the left|body facing left|facing front|lace cap|ruff|fan (costume accessory)|pulled-aside curtain/drapery|column (architectural element)|checkered stone floor,geboortejaar; herkomst,"Voort, Cornelis van der",81814,black and white photograph,False,5275,7935,41.857,D:\thesis\images\10742358.jpg,1,5
4047,10902256,112571,,,huidig,1644 gedateerd,1644,1644,Self-portrait of Samuel van Hoogstraten (1627-1678),Zelfportret van Samuel van Hoogstraten (1627-1678),painting,portrait,oil paint,panel (wood),self-portrait|man's portrait|young man|bust-length portrait|head to the right|body facing right|facing front|headgear|ermine (fur)|long hair (men's hairstyle)|flat collar|fancy dress,,"Hoogstraten, Samuel van",39579,digital image,True,3937,5081,20.004,D:\thesis\images\10902256.jpg,1,9
4057,9261968,134387,,,huidig,1665 gedateerd,1665,1665,Portrait of Mattheus van den Broucke (1652-1716),Portret van Mattheus van den Broucke (1652-1716),painting,portrait,oil paint,canvas,boy's portrait|half-length|head to the right|body facing right|facing front|long hair (men's hairstyle)|balustrade|leaning|glove/gloves in hand|statue|fountain|background view of landscape|drapery (representation),,"Leveck, Jacobus",49719,color reproduction,True,500,438,0.219,D:\thesis\images\9261968.jpg,1,2
4088,9217896,118680,,,huidig,ca. 1650,1645,1653,Portrait of Cornelia Teding van Berkhout (1614-1680),Portret van Cornelia Teding van Berkhout (1614-1680),painting,portrait,oil paint,canvas,woman's portrait|knee-length portrait|head to the left|body facing left|facing front|à la sévigné|earring|pearl necklace|low neckline|brooch|ermine (fur)|fur|fountain|peacock|curtain|background view of landscape,herkomst,"Lievens, Jan",50003,black and white photograph,False,500,438,0.219,D:\thesis\images\9217896.jpg,1,6
4150,9217133,115722,,,huidig,1617 gedateerd,1617,1617,Portrait of Theodorus Schrevelius (1572-1653),Portret van Theodorus Schrevelius (1572-1653),painting,portrait,oil paint,copper,man's portrait|bust-length portrait|head to the right|body facing right|facing front|balding|beard|ruff|surcoat|book in the hand|copper,prent,"Hals, Frans (I)",35550,color reproduction,True,500,438,0.219,D:\thesis\images\9217133.jpg,1,4
4359,9217915,103827,,,huidig,1657 gedateerd,1657,1657,Portrait of Jacob de Witt (1589-1674),Portret van Jacob de Witt (1589-1674),painting,portrait,oil paint,panel (wood),man's portrait|bust-length portrait|head to the right|body facing right|facing front|long hair (men's hairstyle)|moustache|soul patch|flat collar|in an oval,vererving,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217915.jpg,1,7
4361,9217906,203470,,,huidig,1680 gedateerd,1680,1680,Portrait of Cornelis Evertsen (1642-1706),Portret van Cornelis Evertsen (1642-1706),painting,portrait,oil paint,canvas,man's portrait|officer|knee-length portrait|head to the left|body facing right|standing (position)|hand on side|facing front|long wig|armor|drapery (clothing accessory)|baton (symbol or weapon)|cannon|background view of sea|naval battle|navy,LdB,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217906.jpg,1,2
4372,9217910,137665,,,huidig,ca. 1673,1672,1675,Portrait of Jan van Loon (1633-1685),Portret van Jan van Loon (1633-1685),painting,portrait,oil paint,panel (wood),man's portrait|half-length|head to the right|body facing right|long hair (men's hairstyle)|facing front|moustache|scarf|sash (costume accessory)|in an oval,provenance,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217910.jpg,1,2
4373,9217914,108402,,,huidig,ca. 1690,1685,1695,Portrait of Daniel Radermacher (1664-1708),Portret van Daniel Radermacher (1664-1708),painting,portrait,oil paint,canvas,man's portrait|knee-length portrait|head to the left|body facing right|standing (position)|facing front|hand on side|allonge wig|knotted cravat|lace (needlework)|drapery (clothing accessory)|landscape as background,,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217914.jpg,1,2
4374,9217919,121795,,,huidig,,1680,1693,Portret of Adriaen Schagen (1633-1699),Portret van Adriaen Schagen (1633-1699),painting,portrait,oil paint,canvas,man's portrait|knee-length portrait|head to the right|body facing right|facing front|leaning|allonge wig|moustache|base|column (architectural element),,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217919.jpg,1,2
4375,9217920,111180,,,huidig,1689-1691,1689,1691,Portrait of Johanna van den Brande (1668-1691),Portret van Johanna van den Brande (1668-1691),painting,portrait,oil paint,canvas,woman's portrait|young woman|knee-length portrait|head to the right|body facing left|sitting|facing front|partly done up hair|low neckline|drapery (clothing accessory)|pearl necklace|fountain|landscape as background|dress (garment),familiewapens|vererving,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217920.jpg,1,2
4381,9217952,116170,waarschijnlijk,,huidig,ca. 1673,1672,1675,"Portrait of a girl, probably Agatha van Loon (1666-1699)","Portret van een meisje, waarschijnlijk Agatha van Loon (1666-1699)",painting,portrait,oil paint,panel (wood),girl's portrait|three-quarter length figure|head to the left|body facing left|facing front|standing (position)|earring|pearl necklace|brooch|low neckline|bracelet|hand in front of chest|background view of landscape|in an oval,herkomst,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217952.jpg,1,2
4383,10721788,120820,,,huidig,eind 17de eeuw,1680,1693,Portret van Cornelis Munter (1652-1708),Portret van Cornelis Munter (1652-1708),painting,portrait,oil paint,canvas,man's portrait|three-quarter length figure|head to the right|body frontal|facing front|leaning|long hair (men's hairstyle)|hand in front of chest|pedestal|background view of landscape|in an oval,achterschrift; herkomst,"Maes, Nicolaes",51906,photograph,False,1952,2544,4.966,D:\thesis\images\10721788.jpg,1,3
4384,10721789,120911,,,huidig,eind 17de eeuw,1680,1693,Portrait of Maria Piso (1650-1723),Portret van  Maria Piso (1650-1723),painting,portrait,oil paint,canvas,woman's portrait|knee-length portrait|head to the right|body frontal|leaning|facing front|curly hair|earring|pearl necklace|low neckline|hand in front of chest|cliff|curtain|background view of landscape,,"Maes, Nicolaes",51906,photograph,False,2000,2516,5.032,D:\thesis\images\10721789.jpg,1,2
4385,9217916,114613,,,huidig,,1650,1750,Portrait of Gijsbert Voetius (1588-1678),Portret van Gijsbert Voetius (1588-1678),painting,portrait,oil paint,canvas,man's portrait|bust-length portrait|head to the right|body facing right|facing front|skullcap|moustache|soul patch|flat collar|drapery|column as background|in an oval,,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217916.jpg,1,9
4391,9217917,116372,,,huidig,tussen 1660-1665,1660,1665,Portrait of Jacob Trip (1575-1661),Portret van Jacob Trip (1575-1661),painting,portrait,oil paint,canvas,man's portrait|old man|knee-length portrait|sitting|head to the right|body facing right|facing front|skullcap|surcoat|moustache|split beard|chair|table|drapery,,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217917.jpg,1,5
4403,9217934,119713,,,huidig,,1649,1693,Portret van Margaretha de Veer (?-1683),Portret van Margaretha de Veer (?-1683),painting,portrait,oil paint,canvas,woman's portrait|knee-length portrait|head to the left|body facing left|sitting|facing front|pearl necklace|hand in front of chest|pulled-aside curtain/drapery|background view of landscape,herkomst; vererving,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217934.jpg,1,2
4405,9217935,109772,,,huidig,1672 gedateerd,1672,1672,Portrait of Nicolaes Stoop (1620-1694),Portret van Nicolaes Stoop (1620-1694),painting,portrait,oil paint,canvas,man's portrait|knee-length portrait|head to the right|body facing right|sitting|facing front|long hair (men's hairstyle)|flat collar with tassels|moustache|soul patch|hand on side|glove/gloves in hand|column (architectural element)|pulled-aside curtain/drapery|background view of landscape,herkomst; vererving,"Maes, Nicolaes",51906,black and white photograph,False,500,438,0.219,D:\thesis\images\9217935.jpg,1,2
4408,9217936,116372,,,huidig,ca. 1659,1658,1660,Portrait of Jacob Trip (1575-1661),Portret van Jacob Trip (1575-1661),painting,portrait,oil paint,canvas,man's portrait|old man|knee-length portrait|head to the right|body facing right|sitting|facing front|skullcap|beard|surcoat|fur|chair,,"Maes, Nicolaes",51906,black and white photograph,False,640,560,0.358,D:\thesis\images\9217936.jpg,1,5
4410,9660223,115249,,,huidig,ca. 1659,1658,1660,Portrait of Margaretha de Geer (1575-1661),Portret van Margaretha de Geer (1575-1661),painting,portrait,oil paint,canvas,woman's portrait|old woman|knee-length portrait|head to the left|body facing left|sitting|facing front|black cap|large ruff|chair,,"Maes, Nicolaes",51906,black and white photograph,False,640,560,0.358,D:\thesis\images\9660223.jpg,1,9
4411,10463539,115249,,,huidig,1665 gedateerd,1665,1665,Portrait of Margaretha de Geer (1585-1672),Portret van Margaretha de Geer (1585-1672),painting,portrait,oil paint,canvas,woman's portrait|old woman|full-length portrait|head to the left|body facing left|sitting|facing front|black cap|large ruff|fur|chair|table|drapery,,"Maes, Nicolaes",51906,black-and-white reproduction,False,3230,3752,12.119,D:\thesis\images\10463539.jpg,1,9
4620,10904251,112571,,,huidig,1677,1677,1677,Self-portrait of Samuel van Hoogstraten (1627-1678),Zelfportret van Samuel van Hoogstraten (1627-1678),painting,portrait,oil paint|brunaille,panel (wood),self-portrait|man's portrait|half-length|head to the right|body facing right|facing front|long hair (men's hairstyle)|banyan|writing instrument|atlas|globe,,"Hoogstraten, Samuel van",39579,digital image,True,3084,3950,12.182,D:\thesis\images\10904251.jpg,1,9
4630,10904254,204808,,,huidig,1676 gedateerd,1676,1676,Portrait of Mattheus van den Broucke (1620-1685),Portret van Mattheus van den Broucke (1620-1685),painting,portrait,oil paint,canvas,man's portrait|half-length|head to the left|body facing left|long hair (men's hairstyle)|flat collar with tassels|moustache|globe|drapery|column as background|background view of cityscape|harbor|church tower|watercraft|governor-general,,"Hoogstraten, Samuel van",39579,digital image,True,3971,5041,20.018,D:\thesis\images\10904254.jpg,1,2
4779,9158540,103074,,,huidig,1673,1673,1673,Portrait of Andries de Graeff (1611-1677),Portret van Andries de Graeff (1611-1677),painting,portrait,oil paint,canvas,man's portrait|knee-length portrait|head to the right|body facing right|standing (position)|facing front|long hair (men's hairstyle)|wig|moustache|soul patch|jabot|mantle (outerwear)|table|table carpet|book,herkomst; opschrift,"Borch, Gerard ter (II)",10682,color photograph,True,2235,2976,6.651,D:\thesis\images\9158540.jpg,1,6
4910,9660528,206940,,,huidig,ca. 1790-1805,1790,1805,Portrait of Joan Philip Eilbracht (1768-1831),Portret van Joan Philip Eilbracht (1768-1831),portrait miniature,portrait,brush in color,ivory,"man's portrait|bust (general, figure)|head to the right|body facing right|facing front|tail coat",,"Ritter, George Nikolaus",67170,black and white photograph,False,500,438,0.219,D:\thesis\images\9660528.jpg,1,2
4931,9660542,105059,,,huidig,1780-1790,1780,1790,Portrait of Johannes David Hahn (1729-1784),Portret van Johannes David Hahn (1729-1784),painting,portrait,oil paint,canvas,man's portrait|professor|bust-length portrait|head to the left|body facing left|facing front|bob wig|jabot,,"Reyers, Nicolaas",66448,black and white photograph,False,500,438,0.219,D:\thesis\images\9660542.jpg,1,2
